"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
1,"1","-",NA,NA,"kickoff",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","M","ENG","Nobbs","passes.s.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","M","ENG","Davison","passes.f.c",NA,NA,NA,"M","BOS","Hadzic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","M","ENG","Clarke","passes.b.c",NA,NA,NA,"M","BOS","Radeljic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","D","ENG","Turner","passes.f.c",NA,NA,NA,"M","BOS","Radeljic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","-",NA,NA,NA,NA,NA,NA,"M","BOS","Aleksic","clearances",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
6,"1","D","ENG","Turner","passes.b.c",NA,NA,"throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","M","ENG","Clarke","passes.f.c",NA,NA,NA,"F","BOS","Alisa Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1","F","ENG","Christiansen","lost.touch",NA,NA,NA,"D","BOS","Dijakovic","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1","F","BOS","Alisa Spahic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","F","BOS","Alisa Spahic","passes.f",NA,NA,NA,"F","ENG","Christiansen","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1","D","ENG","Houghton","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"1","D","ENG","Houghton","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"1","D","ENG","Stoney","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1","D","ENG","Stoney","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
